FoodImage,NumOffeats,BagOfSurf,FoodId

/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/01/inst1/01.jpg,902,BagOfSurf{0.01662971175166297;0.009977827050997782;0.01662971175166297;0.015521064301552107;0.0022172949002217295;0.0011086474501108647;0.026607538802660754;0.02771618625277162;0.0011086474501108647;0.013303769401330377;0.0066518847006651885;0.008869179600886918;0.0022172949002217295;0.013303769401330377;0.028824833702882482;0.012195121951219513;0.015521064301552107;0.0066518847006651885;0.004434589800443459;0.015521064301552107;0.007760532150776054;0.0033259423503325942;0.005543237250554324;0.043237250554323724;0.018847006651884702;0.01662971175166297;0.007760532150776054;0.0033259423503325942;0.004434589800443459;0.0033259423503325942;0.02328159645232816;0.0011086474501108647;0.004434589800443459;0.0066518847006651885;0.02328159645232816;0.03215077605321508;0.005543237250554324;0.009977827050997782;0.013303769401330377;0.0022172949002217295;0.008869179600886918;0.005543237250554324;0.0033259423503325942;0.0022172949002217295;0.0033259423503325942;0.007760532150776054;0.005543237250554324;0.013303769401330377;0.007760532150776054;0.008869179600886918;0.012195121951219513;0.005543237250554324;0.0066518847006651885;0.007760532150776054;0.004434589800443459;0.0022172949002217295;0.005543237250554324;0.009977827050997782;0.0022172949002217295;0.008869179600886918;0.0011086474501108647;0.0066518847006651885;0.03436807095343681;0.0033259423503325942;0.050997782705099776;0.0066518847006651885;0.011086474501108648;0.0022172949002217295;0.0033259423503325942;0.02106430155210643;0.009977827050997782;0.0066518847006651885;0.005543237250554324;0.007760532150776054;0.008869179600886918;0.0011086474501108647;0.0033259423503325942;0.005543237250554324;0.007760532150776054;0.0033259423503325942;0.012195121951219513;0.008869179600886918;0.019955654101995565;0.007760532150776054;0.015521064301552107;0.008869179600886918;0.0022172949002217295;0.0066518847006651885;0.011086474501108648;0.022172949002217297;0.008869179600886918;0.0;0.005543237250554324;0.0022172949002217295;0.0022172949002217295;0.004434589800443459;0.022172949002217297;0.0066518847006651885;0.007760532150776054;0.011086474501108648},1
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/01/inst1/02.jpg,835,BagOfSurf{0.01437125748502994;0.004790419161676647;0.005988023952095809;0.01437125748502994;0.0;0.0;0.025149700598802394;0.02035928143712575;0.0;0.009580838323353293;0.026347305389221556;0.005988023952095809;0.009580838323353293;0.017964071856287425;0.016766467065868262;0.009580838323353293;0.017964071856287425;0.009580838323353293;0.00718562874251497;0.005988023952095809;0.022754491017964073;0.0011976047904191617;0.0;0.02874251497005988;0.009580838323353293;0.019161676646706587;0.005988023952095809;0.008383233532934131;0.004790419161676647;0.00718562874251497;0.016766467065868262;0.005988023952095809;0.0023952095808383233;0.0023952095808383233;0.019161676646706587;0.03473053892215569;0.00718562874251497;0.008383233532934131;0.004790419161676647;0.0;0.0011976047904191617;0.004790419161676647;0.00718562874251497;0.00718562874251497;0.004790419161676647;0.010778443113772455;0.010778443113772455;0.019161676646706587;0.02035928143712575;0.008383233532934131;0.010778443113772455;0.0023952095808383233;0.016766467065868262;0.008383233532934131;0.017964071856287425;0.005988023952095809;0.0023952095808383233;0.005988023952095809;0.0011976047904191617;0.009580838323353293;0.008383233532934131;0.003592814371257485;0.02155688622754491;0.009580838323353293;0.03832335329341317;0.013173652694610778;0.010778443113772455;0.003592814371257485;0.01437125748502994;0.013173652694610778;0.009580838323353293;0.015568862275449102;0.0;0.00718562874251497;0.017964071856287425;0.005988023952095809;0.0023952095808383233;0.0023952095808383233;0.011976047904191617;0.003592814371257485;0.011976047904191617;0.009580838323353293;0.016766467065868262;0.0023952095808383233;0.011976047904191617;0.009580838323353293;0.0011976047904191617;0.011976047904191617;0.016766467065868262;0.010778443113772455;0.005988023952095809;0.004790419161676647;0.003592814371257485;0.003592814371257485;0.0011976047904191617;0.004790419161676647;0.019161676646706587;0.010778443113772455;0.011976047904191617;0.010778443113772455},1
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/01/inst1/03.jpg,781,BagOfSurf{0.0076824583866837385;0.006402048655569782;0.006402048655569782;0.010243277848911651;0.0012804097311139564;0.002560819462227913;0.016645326504481434;0.029449423815621;0.002560819462227913;0.0038412291933418692;0.019206145966709345;0.005121638924455826;0.0012804097311139564;0.010243277848911651;0.01792573623559539;0.02176696542893726;0.015364916773367477;0.0076824583866837385;0.002560819462227913;0.020486555697823303;0.030729833546734954;0.0012804097311139564;0.002560819462227913;0.03585147247119078;0.01792573623559539;0.015364916773367477;0.0076824583866837385;0.002560819462227913;0.0076824583866837385;0.011523687580025609;0.012804097311139564;0.0012804097311139564;0.005121638924455826;0.0038412291933418692;0.014084507042253521;0.03585147247119078;0.0076824583866837385;0.0076824583866837385;0.008962868117797696;0.0012804097311139564;0.0038412291933418692;0.0012804097311139564;0.014084507042253521;0.005121638924455826;0.0012804097311139564;0.002560819462227913;0.005121638924455826;0.019206145966709345;0.015364916773367477;0.0076824583866837385;0.006402048655569782;0.008962868117797696;0.0076824583866837385;0.008962868117797696;0.011523687580025609;0.002560819462227913;0.006402048655569782;0.0038412291933418692;0.005121638924455826;0.0038412291933418692;0.0012804097311139564;0.005121638924455826;0.023047375160051217;0.005121638924455826;0.024327784891165175;0.005121638924455826;0.0076824583866837385;0.0076824583866837385;0.012804097311139564;0.015364916773367477;0.011523687580025609;0.002560819462227913;0.010243277848911651;0.008962868117797696;0.010243277848911651;0.0076824583866837385;0.006402048655569782;0.006402048655569782;0.010243277848911651;0.0038412291933418692;0.008962868117797696;0.019206145966709345;0.02560819462227913;0.002560819462227913;0.01792573623559539;0.010243277848911651;0.0;0.006402048655569782;0.011523687580025609;0.03585147247119078;0.0076824583866837385;0.0038412291933418692;0.0038412291933418692;0.0;0.0012804097311139564;0.0076824583866837385;0.016645326504481434;0.020486555697823303;0.014084507042253521;0.019206145966709345},1
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/01/inst1/04.jpg,954,BagOfSurf{0.020964360587002098;0.010482180293501049;0.012578616352201259;0.012578616352201259;0.005241090146750524;0.0;0.020964360587002098;0.018867924528301886;0.0020964360587002098;0.015723270440251572;0.011530398322851153;0.013626834381551363;0.0;0.008385744234800839;0.01781970649895178;0.011530398322851153;0.0041928721174004195;0.0041928721174004195;0.007337526205450734;0.013626834381551363;0.012578616352201259;0.0041928721174004195;0.0031446540880503146;0.03563941299790356;0.013626834381551363;0.011530398322851153;0.011530398322851153;0.008385744234800839;0.015723270440251572;0.0031446540880503146;0.02620545073375262;0.006289308176100629;0.007337526205450734;0.0010482180293501049;0.031446540880503145;0.0220125786163522;0.007337526205450734;0.005241090146750524;0.006289308176100629;0.008385744234800839;0.013626834381551363;0.010482180293501049;0.0020964360587002098;0.0031446540880503146;0.0010482180293501049;0.007337526205450734;0.009433962264150943;0.015723270440251572;0.011530398322851153;0.012578616352201259;0.006289308176100629;0.007337526205450734;0.010482180293501049;0.0020964360587002098;0.011530398322851153;0.0041928721174004195;0.009433962264150943;0.0041928721174004195;0.0031446540880503146;0.005241090146750524;0.0020964360587002098;0.0031446540880503146;0.01781970649895178;0.0041928721174004195;0.040880503144654086;0.007337526205450734;0.005241090146750524;0.005241090146750524;0.007337526205450734;0.014675052410901468;0.013626834381551363;0.012578616352201259;0.010482180293501049;0.007337526205450734;0.008385744234800839;0.010482180293501049;0.008385744234800839;0.0031446540880503146;0.012578616352201259;0.0031446540880503146;0.010482180293501049;0.011530398322851153;0.013626834381551363;0.007337526205450734;0.007337526205450734;0.018867924528301886;0.0;0.008385744234800839;0.01781970649895178;0.020964360587002098;0.007337526205450734;0.0010482180293501049;0.005241090146750524;0.0020964360587002098;0.0020964360587002098;0.010482180293501049;0.011530398322851153;0.012578616352201259;0.011530398322851153;0.01781970649895178},1
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/01/inst1/05.jpg,1159,BagOfSurf{0.014667817083692839;0.003451251078515962;0.004314063848144953;0.012942191544434857;0.0;0.004314063848144953;0.028472821397756688;0.015530629853321829;0.006902502157031924;0.009490940465918895;0.015530629853321829;0.004314063848144953;0.003451251078515962;0.012942191544434857;0.013805004314063849;0.01898188093183779;0.009490940465918895;0.004314063848144953;0.0025884383088869713;0.007765314926660914;0.01725625539257981;0.0060396893874029335;0.0060396893874029335;0.012079378774805867;0.01639344262295082;0.015530629853321829;0.003451251078515962;0.008628127696289905;0.010353753235547885;0.007765314926660914;0.01639344262295082;0.010353753235547885;0.006902502157031924;0.005176876617773943;0.023295944779982744;0.022433132010353754;0.011216566005176877;0.010353753235547885;0.011216566005176877;0.0;0.014667817083692839;0.013805004314063849;0.005176876617773943;0.006902502157031924;0.0;0.003451251078515962;0.007765314926660914;0.0181190681622088;0.014667817083692839;0.0060396893874029335;0.007765314926660914;0.007765314926660914;0.010353753235547885;0.010353753235547885;0.01898188093183779;0.011216566005176877;0.003451251078515962;0.014667817083692839;0.006902502157031924;0.014667817083692839;0.0060396893874029335;0.006902502157031924;0.01898188093183779;0.005176876617773943;0.028472821397756688;0.010353753235547885;0.007765314926660914;0.0025884383088869713;0.010353753235547885;0.013805004314063849;0.010353753235547885;0.012942191544434857;0.003451251078515962;0.006902502157031924;0.003451251078515962;0.004314063848144953;0.007765314926660914;0.008628127696289905;0.006902502157031924;0.005176876617773943;0.021570319240724764;0.01639344262295082;0.013805004314063849;0.009490940465918895;0.01898188093183779;0.006902502157031924;0.0025884383088869713;0.006902502157031924;0.014667817083692839;0.0060396893874029335;0.014667817083692839;8.628127696289905E-4;0.007765314926660914;0.0025884383088869713;0.003451251078515962;0.005176876617773943;0.01984469370146678;0.0181190681622088;0.0060396893874029335;0.012942191544434857},1
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/01/inst1/06.jpg,1288,BagOfSurf{0.02717391304347826;0.007763975155279503;0.007763975155279503;0.006987577639751553;7.763975155279503E-4;7.763975155279503E-4;0.018633540372670808;0.027950310559006212;0.0038819875776397515;0.019409937888198756;0.016304347826086956;0.007763975155279503;0.004658385093167702;0.019409937888198756;0.021739130434782608;0.012422360248447204;0.015527950310559006;0.0038819875776397515;0.002329192546583851;0.009316770186335404;0.010869565217391304;0.004658385093167702;0.0015527950310559005;0.027950310559006212;0.011645962732919254;0.016304347826086956;0.010093167701863354;0.003105590062111801;0.008540372670807454;0.004658385093167702;0.024844720496894408;0.004658385093167702;0.013975155279503106;0.005434782608695652;0.021739130434782608;0.02096273291925466;0.004658385093167702;0.0015527950310559005;0.010869565217391304;0.004658385093167702;0.003105590062111801;0.006987577639751553;0.010869565217391304;0.004658385093167702;0.006987577639751553;0.005434782608695652;0.005434782608695652;0.013975155279503106;0.008540372670807454;0.015527950310559006;0.013975155279503106;0.003105590062111801;0.011645962732919254;0.010093167701863354;0.007763975155279503;0.004658385093167702;0.005434782608695652;0.003105590062111801;0.0038819875776397515;0.010093167701863354;0.0038819875776397515;0.006987577639751553;0.017857142857142856;0.004658385093167702;0.046583850931677016;0.009316770186335404;0.010093167701863354;0.006987577639751553;0.010869565217391304;0.013198757763975156;0.019409937888198756;0.006987577639751553;0.008540372670807454;0.012422360248447204;0.006987577639751553;0.006211180124223602;0.006211180124223602;0.004658385093167702;0.009316770186335404;7.763975155279503E-4;0.012422360248447204;0.007763975155279503;0.013975155279503106;0.009316770186335404;0.017080745341614908;0.006987577639751553;0.002329192546583851;0.006211180124223602;0.010869565217391304;0.017857142857142856;0.007763975155279503;0.0015527950310559005;0.006987577639751553;0.002329192546583851;0.005434782608695652;0.0038819875776397515;0.012422360248447204;0.016304347826086956;0.008540372670807454;0.015527950310559006},1
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/01/inst2/01.jpg,1108,BagOfSurf{0.05324909747292419;0.002707581227436823;0.008122743682310469;0.0036101083032490976;0.0;0.004512635379061372;0.013537906137184115;0.032490974729241874;0.009025270758122744;0.013537906137184115;0.013537906137184115;0.002707581227436823;0.002707581227436823;0.005415162454873646;0.007220216606498195;0.013537906137184115;0.02527075812274368;0.00631768953068592;0.0036101083032490976;0.010830324909747292;0.016245487364620937;0.0036101083032490976;0.0036101083032490976;0.02527075812274368;0.010830324909747292;0.007220216606498195;0.002707581227436823;0.00631768953068592;0.009025270758122744;0.008122743682310469;0.009927797833935019;0.01263537906137184;0.005415162454873646;0.00631768953068592;0.030685920577617327;0.02527075812274368;0.007220216606498195;0.008122743682310469;0.016245487364620937;0.0;0.008122743682310469;0.008122743682310469;0.004512635379061372;0.009025270758122744;0.004512635379061372;0.0036101083032490976;0.009927797833935019;0.015342960288808664;0.015342960288808664;0.009025270758122744;0.017148014440433214;0.002707581227436823;0.009025270758122744;0.0018050541516245488;0.011732851985559567;0.007220216606498195;0.0;0.007220216606498195;0.004512635379061372;0.007220216606498195;0.005415162454873646;0.004512635379061372;0.016245487364620937;0.002707581227436823;0.036101083032490974;0.00631768953068592;0.008122743682310469;0.0036101083032490976;0.0036101083032490976;0.033393501805054154;0.021660649819494584;0.01263537906137184;0.005415162454873646;0.004512635379061372;0.008122743682310469;0.002707581227436823;0.0036101083032490976;0.004512635379061372;0.004512635379061372;0.007220216606498195;0.00631768953068592;0.009927797833935019;0.002707581227436823;0.00631768953068592;0.00631768953068592;0.009025270758122744;0.0;0.005415162454873646;0.01263537906137184;0.06407942238267147;0.004512635379061372;0.0018050541516245488;0.0036101083032490976;0.002707581227436823;0.007220216606498195;0.0036101083032490976;0.009025270758122744;0.01444043321299639;0.02256317689530686;0.009927797833935019},1
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/01/inst2/02.jpg,1580,BagOfSurf{0.019620253164556962;6.329113924050633E-4;0.007594936708860759;0.013291139240506329;0.0;0.008227848101265823;0.010126582278481013;0.016455696202531647;0.006329113924050633;0.012658227848101266;0.014556962025316455;0.010126582278481013;0.00569620253164557;0.00949367088607595;0.014556962025316455;0.007594936708860759;0.014556962025316455;0.008860759493670886;0.010759493670886076;0.008227848101265823;0.012025316455696202;0.007594936708860759;0.0012658227848101266;0.015822784810126583;0.010126582278481013;0.006329113924050633;0.008227848101265823;0.010759493670886076;0.0037974683544303796;0.006329113924050633;0.010126582278481013;0.00569620253164557;0.0031645569620253164;0.012025316455696202;0.007594936708860759;0.017721518987341773;0.00569620253164557;0.010759493670886076;0.010126582278481013;6.329113924050633E-4;0.007594936708860759;6.329113924050633E-4;0.0031645569620253164;0.002531645569620253;0.002531645569620253;0.006329113924050633;0.013924050632911392;0.02088607594936709;0.002531645569620253;0.024050632911392405;0.006329113924050633;0.010759493670886076;0.01139240506329114;0.005063291139240506;0.020253164556962026;0.007594936708860759;0.006329113924050633;0.00949367088607595;0.013291139240506329;0.010759493670886076;0.006962025316455696;0.008227848101265823;0.008860759493670886;0.008227848101265823;0.02721518987341772;0.010126582278481013;0.013924050632911392;0.00949367088607595;0.006329113924050633;0.016455696202531647;0.018354430379746836;0.010126582278481013;0.010126582278481013;0.00949367088607595;0.015189873417721518;0.0031645569620253164;0.0031645569620253164;0.006962025316455696;0.006962025316455696;0.005063291139240506;0.007594936708860759;0.013291139240506329;0.013924050632911392;0.00949367088607595;0.012025316455696202;0.010126582278481013;6.329113924050633E-4;0.007594936708860759;0.018354430379746836;0.04493670886075949;0.0031645569620253164;0.00569620253164557;0.0031645569620253164;0.005063291139240506;0.00569620253164557;0.010126582278481013;0.005063291139240506;0.0189873417721519;0.027848101265822784;0.022151898734177215},1
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/01/inst2/03.jpg,1675,BagOfSurf{0.03164179104477612;0.0029850746268656717;0.004776119402985075;0.016119402985074627;5.970149253731343E-4;0.011343283582089553;0.01373134328358209;0.010746268656716417;0.013134328358208954;0.010149253731343283;0.008955223880597015;0.008955223880597015;0.010746268656716417;0.011343283582089553;0.014328358208955224;0.00835820895522388;0.01791044776119403;0.0023880597014925373;0.010746268656716417;0.011940298507462687;0.01253731343283582;0.004776119402985075;0.0029850746268656717;0.02447761194029851;0.013134328358208954;0.005373134328358209;0.00835820895522388;0.010746268656716417;0.007164179104477612;0.00417910447761194;0.0023880597014925373;0.001791044776119403;0.007164179104477612;0.007761194029850746;0.018507462686567163;0.014328358208955224;0.014925373134328358;0.004776119402985075;0.00835820895522388;0.0011940298507462687;0.008955223880597015;0.003582089552238806;0.003582089552238806;0.007164179104477612;0.001791044776119403;0.001791044776119403;0.018507462686567163;0.021492537313432834;0.016119402985074627;0.016119402985074627;0.003582089552238806;0.016119402985074627;0.011940298507462687;0.00835820895522388;0.010149253731343283;0.007761194029850746;0.007761194029850746;0.0029850746268656717;0.011343283582089553;0.00835820895522388;0.00835820895522388;0.00955223880597015;0.008955223880597015;0.010746268656716417;0.022686567164179106;0.008955223880597015;0.01253731343283582;0.005970149253731343;0.0023880597014925373;0.00955223880597015;0.02208955223880597;0.00955223880597015;0.00417910447761194;0.007164179104477612;0.004776119402985075;0.0023880597014925373;0.007761194029850746;0.00835820895522388;0.007164179104477612;0.005373134328358209;0.01373134328358209;0.007164179104477612;0.020298507462686566;0.007164179104477612;0.004776119402985075;0.003582089552238806;0.006567164179104477;0.010149253731343283;0.017313432835820895;0.051940298507462686;0.00417910447761194;0.00417910447761194;5.970149253731343E-4;0.004776119402985075;0.017313432835820895;0.010149253731343283;0.006567164179104477;0.014925373134328358;0.0191044776119403;0.01373134328358209},1
/Users/Shawn/Google Drive/ECEN642/642 Final Proj/Datasets/data/Arbys/01/inst2/04.jpg,1200,BagOfSurf{0.05416666666666667;0.019166666666666665;0.015833333333333335;0.0025;0.0;0.0016666666666666668;0.010833333333333334;0.0325;0.0125;0.010833333333333334;0.0075;0.005;0.004166666666666667;0.01;0.0175;0.010833333333333334;0.021666666666666667;0.008333333333333333;0.0033333333333333335;0.01;0.015;0.0033333333333333335;0.0033333333333333335;0.035;0.006666666666666667;0.0175;0.0033333333333333335;0.0075;0.006666666666666667;0.01;0.004166666666666667;0.0033333333333333335;0.0016666666666666668;0.0016666666666666668;0.019166666666666665;0.016666666666666666;0.005;0.0075;0.011666666666666667;0.0016666666666666668;0.005833333333333334;0.0033333333333333335;0.0025;0.004166666666666667;0.0016666666666666668;0.0;0.015833333333333335;0.013333333333333334;0.0075;0.0125;0.008333333333333333;0.004166666666666667;0.005833333333333334;0.0033333333333333335;0.011666666666666667;0.0075;0.005;0.004166666666666667;0.005833333333333334;0.008333333333333333;0.016666666666666666;0.005833333333333334;0.016666666666666666;0.0075;0.02666666666666667;0.005;0.01;0.005;0.009166666666666667;0.014166666666666666;0.023333333333333334;0.0033333333333333335;0.005;0.005833333333333334;0.005833333333333334;0.004166666666666667;0.005833333333333334;0.004166666666666667;0.008333333333333333;0.009166666666666667;0.011666666666666667;0.0125;0.005833333333333334;0.006666666666666667;0.005833333333333334;0.004166666666666667;0.005;0.01;0.016666666666666666;0.06;0.009166666666666667;0.0025;0.006666666666666667;0.0016666666666666668;0.009166666666666667;0.008333333333333333;0.011666666666666667;0.011666666666666667;0.018333333333333333;0.020833333333333332},1
